label,n,wins,losses,win_rate,profit_factor,expectancy_r,chi2,p_value,n_total,threshold,track
All signals (no gate),45429,22216,23213,48.90268330801911,0.9570499289191401,-0.021946333839617867,3177.0618577631976,0.0,45429,0.52,all_signals
TAKEN (score >= 0.52),18356,11924,6432,64.95968620614512,1.853855721393035,0.29919372412290257,3177.0618577631976,0.0,45429,0.52,all_signals
REJECTED (score < 0.52),27073,10292,16781,38.015735234366346,0.6133126750491628,-0.23968529531267313,3177.0618577631976,0.0,45429,0.52,all_signals
