label,n,wins,losses,win_rate,profit_factor,expectancy_r,chi2,p_value,n_total,threshold
All trades (no gate),425,241,184,56.705882352941174,1.309782608695652,0.13411764705882354,1.5111899530730544,0.21895759985190802,425,0.52
TAKEN (score >= 0.52),77,49,28,63.63636363636363,1.75,0.2727272727272727,1.5111899530730544,0.21895759985190802,425,0.52
REJECTED (score < 0.52),348,192,156,55.172413793103445,1.2307692307692308,0.10344827586206896,1.5111899530730544,0.21895759985190802,425,0.52
