SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20150209_033000_0895,25,2015.02.09 03:30:00,2015.02.09 13:36:24,Monday,EURUSD,LONG,1.13262,1.12990,1.14078,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,NEUTRAL,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,OK,DISCOUNT,CHOPPY,7.98,13.45,1.30,16.29,16.39,-2.72,-0.2778,3.00,-1.000,32.4,27.1,606,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,0
ATLAS_20150209_214500_0928,27,2015.02.09 21:45:00,2015.02.10 11:19:37,Monday,EURUSD,LONG,1.13488,1.12990,1.14982,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,BEARISH,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,OK,PREMIUM,TRENDING,9.88,12.60,1.20,12.15,32.43,-4.99,-0.5122,3.00,-1.002,5.5,49.6,814,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20150210_113000_0929,29,2015.02.10 11:34:37,2015.02.13 06:20:14,Tuesday,EURUSD,LONG,1.13009,1.12598,1.14242,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,BEARISH,BEARISH,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,10.83,6.35,1.30,12.01,43.64,12.34,1.2508,3.00,3.002,123.1,28.3,4005,240,TP3_Full,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,YES,NO,-1,-1,1,2
ATLAS_20150216_021500_0969,31,2015.02.16 02:15:00,2015.02.16 18:55:38,Monday,EURUSD,LONG,1.14056,1.13692,1.15148,0.01,0.50,NONE,125,A+,NEUTRAL,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,OK,DISCOUNT,RANGING,7.82,9.43,1.30,16.62,18.83,-3.65,-0.3713,3.00,-1.003,22.9,35.8,1000,60,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,0,1
ATLAS_20150217_060000_1014,33,2015.02.17 06:00:00,2015.02.20 11:09:55,Tuesday,EURUSD,LONG,1.13613,1.13091,1.15179,0.01,0.50,NONE,125,A+,NEUTRAL,BEARISH,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,7.01,9.62,1.30,18.53,47.82,-5.22,-0.5339,3.00,-1.000,88.3,52.1,4629,300,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20150225_100000_1234,35,2015.02.25 10:00:00,2015.02.26 15:46:41,Wednesday,EURUSD,LONG,1.13740,1.12800,1.16560,0.01,0.50,NONE,125,A+,NEUTRAL,BULLISH,BEARISH,BEARISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,7.14,4.95,0.90,12.61,34.55,-9.43,-0.9739,3.00,-1.003,7.3,93.9,1786,60,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,-1,1,2
ATLAS_20150227_100000_1283,37,2015.02.27 10:00:00,2015.02.27 17:00:00,Friday,EURUSD,LONG,1.12152,1.11734,1.13406,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,NEUTRAL,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,5.22,5.03,0.80,15.32,29.00,-2.85,-0.2952,3.00,-0.682,29.4,39.4,420,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150303_034500_1383,39,2015.03.03 03:45:00,2015.03.04 10:33:43,Tuesday,EURUSD,LONG,1.11867,1.11497,1.12977,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,BEARISH,NEUTRAL,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,OK,DISCOUNT,RANGING,3.86,6.49,1.10,28.47,20.85,-3.71,-0.3858,3.00,-1.003,30.4,36.7,1848,120,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,1
ATLAS_20150306_100000_1537,41,2015.03.06 10:00:00,2015.03.06 11:16:37,Friday,EURUSD,LONG,1.10251,1.09779,1.11667,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,BULLISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,4.51,4.34,0.90,19.94,48.69,-4.74,-0.4953,3.00,-1.004,0.0,47.1,76,0,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,2
ATLAS_20150309_100000_1588,43,2015.03.09 10:00:00,2015.03.10 02:28:34,Monday,EURUSD,LONG,1.08643,1.08273,1.09753,0.01,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,NEUTRAL,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,6.14,5.98,0.60,9.77,49.91,-3.70,-0.3881,3.00,-1.000,41.8,36.9,988,60,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
