SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20150312_100000_1510,23,2015.03.12 10:00:00,2015.03.13 17:00:00,Thursday,XAUUSD,LONG,1162.95,1137.42,1239.54,0.01,0.50,NONE,120,A+,NEUTRAL,BULLISH,BEARISH,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,2.15,1.34,0.39,18.11,59.39,-9.16,-1.0410,3.00,-3.588,0.0,14.4,1860,120,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,-1,0,1,2
ATLAS_20150316_100000_1535,27,2015.03.16 10:00:00,2015.03.20 17:00:00,Monday,XAUUSD,LONG,1162.70,1141.32,1226.84,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.28,1.22,0.51,39.80,31.41,36.74,3.9969,3.00,8.592,21.5,20.0,6180,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,0,0,1,2
ATLAS_20150323_140000_1576,29,2015.03.23 14:00:00,2015.03.27 17:00:00,Monday,XAUUSD,LONG,1185.23,1158.65,1264.97,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,OK,PREMIUM,CHOPPY,1.46,1.29,0.54,36.93,17.50,13.15,1.4104,3.00,4.947,34.3,3.4,5940,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,1,0
ATLAS_20150401_153000_1783,31,2015.04.01 15:30:00,2015.04.10 17:00:00,Wednesday,XAUUSD,LONG,1192.96,1168.29,1266.97,0.01,0.50,NONE,120,A+,BEARISH,NEUTRAL,NEUTRAL,NEUTRAL,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,1.72,1.24,0.48,27.86,32.67,14.79,1.5615,3.00,5.995,31.2,1.7,13050,840,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150415_154500_1991,33,2015.04.15 15:45:00,2015.04.17 17:00:00,Wednesday,XAUUSD,LONG,1194.28,1173.87,1255.51,0.02,0.50,NONE,125,A+,BEARISH,BULLISH,NEUTRAL,BEARISH,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,CHOPPY,1.69,1.29,0.57,33.80,14.32,21.10,2.1792,3.00,5.169,14.8,2.6,2955,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,0
ATLAS_20150420_100000_2016,35,2015.04.20 10:00:00,2015.04.22 17:21:38,Monday,XAUUSD,LONG,1209.23,1187.30,1275.02,0.02,0.50,NONE,125,A+,NEUTRAL,BULLISH,NEUTRAL,NEUTRAL,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.12,0.91,0.56,50.16,31.10,-43.86,-4.7448,3.00,-10.000,0.0,21.9,3321,180,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20150423_144500_2086,37,2015.04.23 14:45:00,2015.04.24 17:00:00,Thursday,XAUUSD,LONG,1191.63,1175.68,1239.48,0.02,0.50,NONE,125,A+,BEARISH,NEUTRAL,BEARISH,NEUTRAL,NO,YES,NO,NO,YES,YES,YES,YES,YES,NO,NO,OK,DISCOUNT,TRENDING,1.25,1.18,0.41,32.71,26.24,-19.06,-2.1053,3.00,-5.975,6.3,9.6,1575,60,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,0,2
ATLAS_20150427_171500_2140,39,2015.04.27 17:15:00,2015.05.01 17:00:00,Monday,XAUUSD,LONG,1199.40,1165.14,1302.18,0.01,0.50,NEWYORK,120,A+,NEUTRAL,BULLISH,BEARISH,BEARISH,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,BLOCKED,PREMIUM,RANGING,2.45,1.32,0.49,19.97,18.85,-21.54,-2.4372,3.00,-6.287,15.6,29.7,5745,360,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,-1,-1,1,1
ATLAS_20150504_041500_2154,41,2015.05.04 04:15:00,2015.05.08 17:00:00,Monday,XAUUSD,LONG,1182.04,1159.66,1249.18,0.01,0.50,NONE,125,A+,BEARISH,NEUTRAL,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,OK,PREMIUM,TRENDING,0.94,1.71,0.42,44.51,38.02,3.89,0.4382,3.00,1.738,17.8,3.3,6525,420,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,2
ATLAS_20150511_151500_2200,45,2015.05.11 15:15:00,2015.05.15 17:00:00,Monday,XAUUSD,LONG,1191.75,1171.60,1252.20,0.02,0.50,NONE,125,A+,BULLISH,NEUTRAL,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.38,0.91,0.42,30.43,24.39,55.30,5.9145,3.00,13.722,35.3,12.9,5865,360,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,0,0,1,1
