Feature,Mean_Abs_SHAP
adx,0.1523192180593043
atr50,0.14725413800974685
atr_ratio,0.13126977713126997
atr14,0.08972855675889006
month,0.08117908885045623
spread_pct_atr,0.07944039541526239
vol_regime,0.07601294280907638
h4_bias,0.07363215681568447
hour,0.07350061273924118
sweep_count,0.07298994080934003
h1_bias,0.07122796252861736
spread_pips,0.061245065042908886
daily_bias,0.0543453721612623
day_of_week,0.04778041977320516
pwl_sweep,0.047604285498185225
