target,model,dataset,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
win_loss,RandomForest,research_signals,0.687950701149657,0.020196845989234578,0.680076825966515,0.026581106374657288,0.6574469750255709,0.004928700564437,0.6097305764411027,0.0704197869551526,0.6305745266778813,0.038972455430039174
win_loss,XGBoost,research_signals,0.7176851251833904,0.017948985464002854,0.713040728845263,0.02206292104657703,0.6670297210904497,0.017194069365454853,0.6933884711779449,0.050279023470323994,0.6794774246119029,0.031827135718632396
win_loss,LightGBM,research_signals,0.702980617232462,0.00958423006539921,0.6958981996446478,0.016745706054218174,0.6711959561811476,0.010031389942903358,0.6497907268170426,0.024997671262950653,0.660172045943539,0.01668542793888967
tp2_hit,RandomForest,research_signals,0.7498117248720346,0.019417788888889856,0.5633139344291637,0.03612852159190542,0.48449120233350496,0.019573598002027928,0.7137793914246198,0.05562112160513469,0.5768448406510447,0.03077212264842655
tp2_hit,XGBoost,research_signals,0.7956120639738588,0.0216795893016814,0.6373516957113032,0.04813594447815429,0.6772656162728381,0.0631281344976624,0.3776867219917012,0.05310506488116716,0.4841395379465395,0.05759703092638778
tp2_hit,LightGBM,research_signals,0.7920801800389353,0.021784427814163544,0.6313093649096546,0.048087215091448136,0.5560995803769232,0.016757951443252223,0.6947130013831258,0.028616061061244244,0.6175060700027178,0.01844367257801237
tp3_hit,RandomForest,research_signals,0.810157617560939,0.011180027117061925,0.5131610084829649,0.02314313466955558,0.38506684260979995,0.01754540473182924,0.7768919848641211,0.023160839374555937,0.5143866062621496,0.013397697885367084
tp3_hit,XGBoost,research_signals,0.8557205335157694,0.008127069232367137,0.6168593257662659,0.011666607970292769,0.7115129998938374,0.016425667743916794,0.3122205022359822,0.03806226955037583,0.43243352560009435,0.03501657150071667
tp3_hit,LightGBM,research_signals,0.8460883858230677,0.010659752958588991,0.5864710359834377,0.015129238937230489,0.48664528625513465,0.00943570782051226,0.7349157206742346,0.019160106316555757,0.5854540995540486,0.010677302172464211
