SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20160311_031500_1353,29,2016.03.11 03:15:00,2016.03.11 17:00:00,Friday,XAUUSD,LONG,1276.59,1226.99,1425.39,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,BEARISH,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.60,3.39,0.24,14.99,20.24,-12.57,-1.0604,3.00,-2.534,6.8,14.5,825,0,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,-1,1,1
ATLAS_20160316_211500_1575,31,2016.03.16 21:15:00,2016.03.18 17:00:00,Wednesday,XAUUSD,LONG,1260.71,1215.60,1396.04,0.01,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,BLOCKED,PREMIUM,TRENDING,4.22,2.38,0.26,6.16,44.98,-8.04,-0.6829,3.00,-1.782,10.1,12.9,2625,120,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,0,2
ATLAS_20160322_100000_1676,33,2016.03.22 10:00:00,2016.03.23 13:53:20,Tuesday,XAUUSD,LONG,1258.22,1230.54,1341.26,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,OK,PREMIUM,TRENDING,2.00,1.42,0.24,12.01,43.77,-55.36,-4.9341,3.00,-10.000,1.5,27.7,1673,60,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20160329_194500_1932,35,2016.03.29 19:45:00,2016.04.01 17:00:00,Tuesday,XAUUSD,LONG,1237.45,1198.15,1355.35,0.01,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,3.20,2.09,0.28,8.75,30.83,-23.63,-2.1514,3.00,-6.013,6.5,24.5,4155,240,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20160405_104500_2040,37,2016.04.05 10:45:00,2016.04.08 17:00:00,Tuesday,XAUUSD,LONG,1227.97,1204.56,1298.20,0.02,0.50,NONE,125,A+,BULLISH,NEUTRAL,BEARISH,NEUTRAL,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.44,1.32,0.31,21.59,20.28,19.26,1.7233,3.00,4.114,15.2,11.3,4695,300,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,1
ATLAS_20160411_051500_2058,39,2016.04.11 05:15:00,2016.04.15 17:00:00,Monday,XAUUSD,LONG,1251.87,1219.54,1348.86,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,NEUTRAL,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,OK,PREMIUM,TRENDING,1.68,1.76,0.31,18.44,45.75,-24.81,-2.2703,3.00,-7.674,10.7,28.1,6465,420,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,2
ATLAS_20160419_100000_2163,42,2016.04.19 10:00:00,2016.04.21 16:47:14,Tuesday,XAUUSD,LONG,1244.38,1220.04,1317.40,0.02,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,BLOCKED,PREMIUM,RANGING,2.44,1.55,0.25,10.26,22.41,10.00,0.9068,3.00,2.054,25.8,3.5,3287,180,StopLoss,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,NO,NO,YES,0,0,1,1
ATLAS_20160428_100000_2420,47,2016.04.28 10:00:00,2016.04.29 17:00:00,Thursday,XAUUSD,LONG,1254.87,1229.34,1331.46,0.02,0.50,NONE,120,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,BLOCKED,PREMIUM,TRENDING,2.14,2.12,0.35,16.33,36.08,56.60,4.7921,3.00,11.085,31.9,1.9,1860,120,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,NO,NO,YES,0,0,0,2
ATLAS_20160502_123000_2455,49,2016.05.02 12:30:00,2016.05.06 17:00:00,Monday,XAUUSD,LONG,1297.62,1254.91,1425.75,0.01,0.50,NONE,125,A+,BULLISH,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,OK,PREMIUM,RANGING,1.56,1.42,0.34,21.75,20.67,-8.34,-0.7111,3.00,-1.953,6.0,28.8,6030,360,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,1
ATLAS_20160516_023000_2826,51,2016.05.16 02:30:00,2016.05.19 08:51:13,Monday,XAUUSD,LONG,1275.13,1252.88,1341.88,0.02,0.50,NONE,125,A+,BULLISH,BULLISH,BULLISH,NEUTRAL,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,OK,PREMIUM,RANGING,1.00,1.78,0.24,23.91,18.45,-44.52,-3.9459,3.00,-10.004,13.5,22.2,4701,300,StopLoss,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,1
