SetupID,Ticket,OpenTime,CloseTime,DayOfWeek,Symbol,Direction,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPct,Session,ConfluenceScore,Grade,WeeklyBias,DailyBias,H4Bias,H1Bias,PDH_Sweep,PDL_Sweep,PWH_Sweep,PWL_Sweep,Asian_Sweep,EQH_Sweep,EQL_Sweep,MSS,Displacement,FVG_Present,OB_Present,ADR_Status,PremDisc_Status,MarketCondition,ATR14_Pips_Entry,ATR50_Pips_Entry,Spread_Pips_Entry,SpreadPctATR_Entry,ADX_Entry,Profit_USD,Profit_Pct,PlannedRR,RR_Achieved,MFE_Pips,MAE_Pips,MinutesInTrade,BarsInTrade,ExitReason,Trade_Result,Score_Weekly,Score_Daily,Score_LiqSweep,Score_MSS,Score_Displacement,Score_FVG,Score_Killzone,Score_SMT,Score_ADR,Score_PO3,Score_PremDisc,TP1_Hit,TP2_Hit,TP3_Hit,BreakEven_Triggered,Score_H4Align,Score_H1Align,OB_Score,Cond_Score
ATLAS_20060131_183000_26142,23,2006.01.31 18:30:01,2006.02.03 17:00:01,Tuesday,XAUUSD,LONG,570.72,547.50,640.38,0.02,0.50,NEWYORK,125,A+,BULLISH,BULLISH,NEUTRAL,BULLISH,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,OK,PREMIUM,RANGING,1.56,0.95,0.02,1.28,18.40,-5.04,-0.4993,3.00,-1.085,4.0,7.7,4230,240,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,1,0,1
ATLAS_20060216_171500_26787,25,2006.02.16 17:15:00,2006.02.17 17:00:00,Thursday,XAUUSD,LONG,540.72,525.70,585.78,0.03,0.50,NEWYORK,125,A+,NEUTRAL,BEARISH,BEARISH,NEUTRAL,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,OK,PREMIUM,RANGING,1.49,0.94,0.02,1.34,20.41,38.94,3.7145,3.00,8.642,13.3,0.6,1425,60,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,-1,0,1,1
ATLAS_20060228_171500_27168,27,2006.02.28 17:15:30,2006.03.03 17:00:00,Tuesday,XAUUSD,LONG,559.12,541.70,611.38,0.03,0.50,NEWYORK,125,A+,BULLISH,BULLISH,BULLISH,NEUTRAL,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,OK,PREMIUM,CHOPPY,1.08,0.60,0.02,1.85,16.71,19.74,1.8482,3.00,3.777,11.6,0.9,4304,240,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,1,0,1,0
ATLAS_20060321_174500_27943,29,2006.03.21 17:45:00,2006.03.24 17:00:30,Tuesday,XAUUSD,LONG,552.72,536.70,600.78,0.03,0.50,NEWYORK,120,A+,NEUTRAL,BEARISH,BULLISH,BULLISH,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,BLOCKED,PREMIUM,TRENDING,1.68,0.87,0.02,1.19,26.50,16.44,1.5159,3.00,3.421,6.8,8.0,4275,240,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,1,1,1,2
ATLAS_20060411_170000_28763,35,2006.04.11 17:00:00,2006.04.21 17:00:30,Tuesday,XAUUSD,LONG,600.12,578.00,666.48,0.02,0.50,NEWYORK,120,A+,NEUTRAL,BULLISH,BULLISH,BULLISH,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,BLOCKED,PREMIUM,CHOPPY,1.66,1.08,0.02,1.20,17.97,48.16,4.1808,3.00,10.886,45.1,9.9,14400,960,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,YES,NO,YES,1,1,1,0
ATLAS_20060426_153000_28961,37,2006.04.26 15:30:30,2006.04.28 17:00:00,Wednesday,XAUUSD,LONG,634.22,608.20,712.28,0.02,0.50,NONE,125,A+,NEUTRAL,BULLISH,NEUTRAL,NEUTRAL,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,PREMIUM,TRENDING,1.29,0.89,0.02,1.55,30.01,21.76,1.8540,3.00,4.181,10.9,6.7,2969,180,ExpertAdvisor,WIN,15,15,20,20,15,10,10,5,5,5,5,NO,NO,NO,NO,0,0,1,2
ATLAS_20060504_203000_29244,39,2006.05.04 20:30:00,2006.05.05 17:00:30,Thursday,XAUUSD,LONG,679.22,647.70,773.78,0.01,0.50,NONE,120,A+,NEUTRAL,BULLISH,BULLISH,NEUTRAL,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,BLOCKED,PREMIUM,TRENDING,3.31,2.24,0.02,0.60,25.19,-0.02,-0.0017,3.00,-0.006,5.0,4.5,1230,60,ExpertAdvisor,LOSS,15,15,20,20,15,10,10,5,0,5,5,NO,NO,NO,NO,1,0,1,2
ATLAS_20060508_100000_29269,43,2006.05.08 10:00:30,2006.05.12 12:35:00,Monday,XAUUSD,LONG,680.72,664.70,728.78,0.03,0.50,NONE,125,A+,NEUTRAL,BULLISH,BULLISH,NEUTRAL,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,OK,PREMIUM,RANGING,1.09,1.03,0.02,1.84,22.47,146.94,11.1268,3.00,30.574,47.5,10.2,5914,360,TP3_Full,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,YES,YES,YES,1,0,0,1
ATLAS_20060516_144500_29391,48,2006.05.16 14:45:00,2006.05.17 16:24:30,Tuesday,XAUUSD,LONG,689.12,666.10,758.18,0.02,0.50,NONE,125,A+,BEARISH,BEARISH,NEUTRAL,BEARISH,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,OK,DISCOUNT,TRENDING,1.66,1.69,0.02,1.20,44.80,9.16,0.7001,3.00,1.990,27.4,5.9,1539,60,StopLoss,WIN,15,15,20,20,15,10,10,5,5,5,5,YES,NO,NO,YES,0,-1,1,2
ATLAS_20060522_151500_29434,52,2006.05.22 15:16:00,2006.05.24 14:28:00,Monday,XAUUSD,LONG,651.22,633.00,705.88,0.03,0.50,NONE,120,A+,BEARISH,BEARISH,NEUTRAL,BEARISH,NO,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,BLOCKED,DISCOUNT,RANGING,1.89,1.88,0.02,1.06,23.83,14.64,1.0592,3.00,2.678,23.3,8.5,2832,180,StopLoss,WIN,15,15,20,20,15,10,10,5,0,5,5,YES,NO,NO,YES,0,-1,1,1
